"note_id","name","type","locale","title","content","content_data","status","source","date_created","date_reminder","is_snoozable","layout","image","is_deleted","is_read","icon"
"1","wayflyer_bnpl_q4_2021","marketing","en_US","Grow your business with funding through Wayflyer","Fast, flexible financing to boost cash flow and help your business grow – one fee, no interest rates, penalties, equity, or personal guarantees. Based on your store’s performance, Wayflyer provides funding and analytical insights to invest in your business.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"2","wc_shipping_mobile_app_usps_q4_2021","marketing","en_US","Print and manage your shipping labels with WooCommerce Shipping and the WooCommerce Mobile App","Save time by printing, purchasing, refunding, and tracking shipping labels generated by <a href=""https://woo.com/woocommerce-shipping/"">WooCommerce Shipping</a> – all directly from your mobile device!","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"3","woocommerce-services","info","en_US","WooCommerce Shipping & Tax","WooCommerce Shipping &amp; Tax helps get your store ""ready to sell"" as quickly as possible. You create your products. We take care of tax calculation, payment processing, and shipping label printing! Learn more about the extension that you just installed.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"4","your-first-product","info","en_US","Your first product","That’s huge! You’re well on your way to building a successful online store — now it’s time to think about how you’ll fulfill your orders.<br /><br />Read our shipping guide to learn best practices and options for putting together your shipping strategy. And for WooCommerce stores in the United States, you can print discounted shipping labels via USPS with <a href=""https://href.li/?https://woo.com/shipping"" target=""_blank"">WooCommerce Shipping</a>.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"5","wc-admin-optimizing-the-checkout-flow","info","en_US","Optimizing the checkout flow","It’s crucial to get your store’s checkout as smooth as possible to avoid losing sales. Let’s take a look at how you can optimize the checkout experience for your shoppers.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"6","wc-payments-qualitative-feedback","info","en_US","WooCommerce Payments setup - let us know what you think","Congrats on enabling WooCommerce Payments for your store. Please share your feedback in this 2 minute survey to help us improve the setup process.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"7","share-your-feedback-on-paypal","info","en_US","Share your feedback on PayPal","Share your feedback in this 2 minute survey about how we can make the process of accepting payments more useful for your store.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"8","google_listings_and_ads_install","marketing","en_US","Drive traffic and sales with Google","Reach online shoppers to drive traffic and sales for your store by showcasing products across Google, for free or with ads.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"9","wc-subscriptions-security-update-3-0-15","info","en_US","WooCommerce Subscriptions security update!","We recently released an important security update to WooCommerce Subscriptions. To ensure your site’s data is protected, please upgrade <strong>WooCommerce Subscriptions to version 3.0.15</strong> or later.<br /><br />Click the button below to view and update to the latest Subscriptions version, or log in to <a href=""https://woo.com/my-dashboard"">WooCommerce.com Dashboard</a> and navigate to your <strong>Downloads</strong> page.<br /><br />We recommend always using the latest version of WooCommerce Subscriptions, and other software running on your site, to ensure maximum security.<br /><br />If you have any questions we are here to help — just <a href=""https://woo.com/my-account/create-a-ticket/"">open a ticket</a>.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"10","woocommerce-core-update-5-4-0","info","en_US","Update to WooCommerce 5.4.1 now","WooCommerce 5.4.1 addresses a checkout issue discovered in WooCommerce 5.4. We recommend upgrading to WooCommerce 5.4.1 as soon as possible.","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"11","wcpay-promo-2020-11","marketing","en_US","wcpay-promo-2020-11","wcpay-promo-2020-11","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
"12","wcpay-promo-2020-12","marketing","en_US","wcpay-promo-2020-12","wcpay-promo-2020-12","{}","pending","woocommerce.com","2023-11-03 04:17:02",NULL,"0","plain",,"0","0","info"
